event_code,lot_number,plate_raw,hammer_price_gbp,collectibility_score,collectibility_segment,plate_length,numeric_value,all_digits_same,has_sequential_pattern,is_round_number,is_milestone_number
B270,316,9 CBA,5010.0,70,Trophy Candidate,4,9,0,1,0,1
B273,1836,7 UTS,4510.0,70,Trophy Candidate,4,7,0,1,0,1
B272,1349,55 OV,5460.0,65,Trophy Candidate,4,55,1,0,0,1
B274,503,33 DU,5310.0,65,Trophy Candidate,4,33,1,0,0,1
B272,700,44 GY,5260.0,65,Trophy Candidate,4,44,1,0,0,1
B271,1912,9 WRW,5260.0,64,Trophy Candidate,4,9,0,0,0,1
B270,1560,9 RRY,5130.0,64,Trophy Candidate,4,9,0,0,0,1
B273,318,9 CHH,5120.0,64,Trophy Candidate,4,9,0,0,0,1
B278,1873,7 VOV,5080.0,64,Trophy Candidate,4,7,0,0,0,1
B272,635,7 GGM,5050.0,64,Trophy Candidate,4,7,0,0,0,1
B274,1829,7 TUT,5010.0,64,Trophy Candidate,4,7,0,0,0,1
B276,1272,8 MUM,5010.0,64,Trophy Candidate,4,8,0,0,0,1
B274,1883,9 VXV,4510.0,64,Trophy Candidate,4,9,0,0,0,1
B275,1809,7 TPT,4310.0,64,Trophy Candidate,4,7,0,0,0,1
B273,1285,7 NNL,3600.0,64,Trophy Candidate,4,7,0,0,0,1
B278,1561,9 RYR,3410.0,64,Trophy Candidate,4,9,0,0,0,1
B273,963,9 KKU,3360.0,64,Trophy Candidate,4,9,0,0,0,1
B277,1151,8 MEN,5630.0,62,Trophy Candidate,4,8,0,0,0,1
B272,986,8 KTY,5570.0,62,Trophy Candidate,4,8,0,0,0,1
B278,1339,9 OJL,5520.0,62,Trophy Candidate,4,9,0,0,0,1
B271,454,9 DHP,5510.0,62,Trophy Candidate,4,9,0,0,0,1
B273,230,9 BNA,5510.0,62,Trophy Candidate,4,9,0,0,0,1
B275,55,8 AHM,5510.0,62,Trophy Candidate,4,8,0,0,0,1
B278,1316,7 NUG,5510.0,62,Trophy Candidate,4,7,0,0,0,1
B276,737,7 HBS,5450.0,62,Trophy Candidate,4,7,0,0,0,1
B271,1234,9 MRY,5400.0,62,Trophy Candidate,4,9,0,0,0,1
B272,1546,8 RWA,5320.0,62,Trophy Candidate,4,8,0,0,0,1
B273,1259,9 NAY,5260.0,62,Trophy Candidate,4,9,0,0,0,1
B278,639,7 FRC,5260.0,62,Trophy Candidate,4,7,0,0,0,1
B271,1875,8 VXR,5170.0,62,Trophy Candidate,4,8,0,0,0,1
