event_code,plate_count,minimum_price,median_price,mean_price,percentile_90_price,maximum_price,median_lift_vs_overall,sample_size_flag
B270,1966,200.0,1485.0,2415.4526958290944,5640.0,33670.0,0.9834437086092715,sufficient_sample
B271,1969,200.0,1510.0,2503.052310817674,5510.0,70000.0,1.0,sufficient_sample
B272,1983,200.0,1510.0,2541.981845688351,5910.0,91020.0,1.0,sufficient_sample
B273,1983,200.0,1510.0,2521.290973272819,5518.0,56510.0,1.0,sufficient_sample
B274,1981,200.0,1440.0,2462.4734982332157,5520.0,90000.0,0.9536423841059603,sufficient_sample
B275,1970,200.0,1510.0,2456.279187817259,5891.000000000002,35000.0,1.0,sufficient_sample
B276,1972,200.0,1370.0,2463.575050709939,5552.000000000007,102010.0,0.9072847682119205,sufficient_sample
B277,1977,200.0,1520.0,2523.960546282246,5684.0000000000055,30010.0,1.0066225165562914,sufficient_sample
B278,1981,200.0,1500.0,2572.347299343766,6010.0,51020.0,0.9933774834437086,sufficient_sample
