feature,importance
categorical__plate_format_group_digits_then_letters,0.1363974762252443
numeric__plate_length,0.10344837328298546
numeric__letter_count,0.09320447236769126
numeric__block_count,0.07168392737886205
categorical__plate_format_group_letters_digits_letters,0.05341965324683318
numeric__last_numeric_value,0.05153782809994533
numeric__numeric_value,0.0497809523276752
numeric__first_numeric_value,0.04912754114954559
numeric__first_segment_length,0.04252502323630248
numeric__last_segment_length,0.0399836315031526
numeric__is_short_plate_len_4_or_less,0.03985268766528746
numeric__unique_character_count,0.03973311622529796
categorical__plate_pattern_LDDLLL,0.03546877707437248
categorical__plate_pattern_LDDDLLL,0.022970972852580443
numeric__digit_count,0.01375621337839067
numeric__numeric_length,0.013408430064886087
categorical__plate_pattern_LLLDDL,0.01297574571950227
categorical__plate_pattern_DLLL,0.011541805866443171
categorical__plate_format_group_letters_then_digits,0.010574382629555706
numeric__maximum_character_run,0.009535027926763624
numeric__low_number_score,0.009101217168181778
categorical__plate_pattern_DDDLL,0.006841203722101638
categorical__plate_pattern_DDDLLL,0.006713511245661929
numeric__repeated_character_count,0.006516179724671673
numeric__longest_block_length,0.005690057683964582
categorical__plate_pattern_LLLDDDL,0.005630190657993645
numeric__is_single_digit_number,0.005351050414737143
categorical__plate_pattern_DDLLL,0.00482120976559915
categorical__plate_pattern_LLLDDD,0.004407413103020069
numeric__is_two_digit_number,0.0038025995550060626
numeric__is_milestone_number,0.0035644142790069895
categorical__plate_pattern_LLLDL,0.0034722742200556443
numeric__has_repeated_letter,0.003288913335850708
numeric__is_number_below_100,0.0030316997306618423
categorical__plate_pattern_DDDDLL,0.002983425587707166
numeric__is_round_number,0.0029008141986922847
categorical__plate_pattern_DDLL,0.0028412926701334943
categorical__plate_pattern_LLLDD,0.0028012350910780696
categorical__plate_pattern_DDDL,0.002763895158374454
numeric__has_repeated_digit,0.0026716958020537793
numeric__all_digits_same,0.002660730866212714
categorical__plate_pattern_LLDDLLL,0.002076852092643186
categorical__plate_pattern_LLLD,0.0010503905095996212
numeric__all_letters_same,0.001040652430645932
categorical__plate_pattern_LLLDDDD,0.0009910722348404905
numeric__is_number_below_1000,0.0007401002856651237
numeric__has_sequential_pattern,0.0006105483183061262
numeric__is_short_plate_len_3_or_less,0.0003568592594847974
categorical__plate_pattern_DDDDL,0.0003017994164850342
categorical__plate_pattern_LDLLL,4.403981706474371e-05
categorical__plate_pattern_LLDD,6.623433182789557e-06
categorical__plate_pattern_LLDDDD,0.0
categorical__plate_pattern_LLDDD,0.0
categorical__plate_pattern_DDL,0.0
numeric__segment_count,0.0
numeric__is_palindrome,0.0
categorical__plate_pattern_DLL,0.0
