plate_pattern,plate_count,median_price,mean_price,percentile_90_price,median_lift_vs_overall,sample_size_flag
DDDL,123,10620.0,12559.59349593496,18329.999999999996,7.033112582781457,sufficient_sample
DDLL,309,7010.0,7837.249190938512,10502.0,4.642384105960265,sufficient_sample
DLLL,676,5510.0,6812.026627218935,12070.0,3.6490066225165565,sufficient_sample
DDDDL,53,5140.0,7422.641509433963,12028.000000000002,3.403973509933775,sufficient_sample
DDDLL,629,4640.0,5240.365659777424,8024.000000000001,3.0728476821192054,sufficient_sample
LLLD,144,4210.0,6790.555555555556,15784.000000000044,2.7880794701986753,sufficient_sample
DDLLL,1436,3115.0,3865.473537604457,6700.0,2.062913907284768,sufficient_sample
DDDDLL,455,2810.0,3270.5934065934066,4964.000000000002,1.8609271523178808,sufficient_sample
DDDLLL,891,1990.0,2783.5241301907968,5520.0,1.3178807947019868,sufficient_sample
LLLDL,1886,1895.0,2580.1908801696713,5010.0,1.2549668874172186,sufficient_sample
LLDDLLL,825,1310.0,1895.0545454545454,3578.000000000002,0.8675496688741722,sufficient_sample
LLLDD,542,1300.0,2064.778597785978,4010.0,0.8609271523178808,sufficient_sample
LLLDDL,2665,1210.0,1859.4033771106942,4010.0,0.8013245033112583,sufficient_sample
LLLDDDL,2212,1010.0,1557.7124773960218,3298.000000000002,0.6688741721854304,sufficient_sample
LLLDDD,387,910.0,1312.9974160206718,2360.0,0.6026490066225165,sufficient_sample
LLLDDDD,103,710.0,907.9611650485436,1611.9999999999995,0.47019867549668876,sufficient_sample
LDDDLLL,2097,610.0,990.3242727706247,2210.0,0.40397350993377484,sufficient_sample
LDDLLL,2315,610.0,1006.488120950324,2360.0,0.40397350993377484,sufficient_sample
